app_name,UI,gesture_x,gesture_y,bounds,classified_class,clickable,ancestors_cnt,siblings_cnt,ancestors,siblings,Hierarchy_Depth,Nesting_Level,top_spacing,bottom_spacing,left_spacing,right_spacing,total_components,descendant_count,descendant_classes
air.com.interactech.moovz,654,304.8,1098.6666666666663,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",12,1,0.0,0.9015625,0.0,0.0,46,45,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Image', 'Image', 'Image', 'Other', 'TextButton', 'TextButton', 'Image', 'Image', 'Image', 'Other', 'Other', 'Image', 'TextButton', 'Other', 'Other', 'TextButton', 'TextButton', 'Image', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'Other', 'TextButton', 'TextButton', 'TextButton', 'WebView', 'Other', 'WebView', 'Other', 'Other', 'Other']"
br.com.livrariasaraiva.ereader.andr,109,317.33333333333337,593.3333333333334,"[0, 266, 1440, 2392]",Other,True,8,1,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']",['Other'],12,7,0.0,0.0,0.0,0.0,112,1,['Other']
com.aadhk.time,49,718.6666666666666,454.6666666666667,"[0, 384, 1440, 524]",TextButton,False,8,3,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton']","['Other', 'TextButton', 'Other']",10,7,0.0669371196754563,0.8620689655172413,0.0,0.0,48,6,"['Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other']"
com.airwatch.androidagent,2,564.0,392.0,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",9,1,0.0,0.9015625,0.0,0.0,21,20,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']"
com.airwaysbooking.cheapflights,671,138.66666666666666,722.6666666666666,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",11,1,0.0,0.9015625,0.0,0.0,24,23,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'WebView', 'Other', 'Other', 'Other', 'Other', 'Toolbar', 'TextButton', 'Other', 'Image', 'Image', 'Other', 'Other', 'Other']"
com.alundaani.dual.one,391,128.0,182.66666666666663,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",11,1,0.0,0.9015625,0.0,0.0,23,22,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'WebView', 'Other', 'Other', 'Other', 'Other', 'WebView', 'WebView', 'WebView', 'WebView', 'Other', 'Toolbar', 'Other', 'Other', 'Other', 'Other', 'Other']"
com.andromo.dev136619.app230407,287,233.33333333333331,297.33333333333337,"[56, 252, 1384, 364]",TextButton,False,8,2,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton']","['TextButton', 'Other']",10,7,0.0,0.0009345794392523,0.0388888888888888,0.0388888888888888,34,9,"['TextButton', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Checkbox']"
com.atistudios.italk.ja,526,682.6666666666667,1234.6666666666667,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",7,1,0.0,0.9015625,0.0,0.0,11,10,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']"
com.attidomobile.passwallet,193,1236.0,1401.3333333333333,"[840, 417, 1440, 2392]",Other,True,14,3,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']","['Other', 'Other', 'Other']",16,13,0.0,0.0,0.0,0.0,89,15,"['Other', 'Other', 'Image', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Image', 'Other', 'Image', 'Image', 'Other']"
com.audible.application,980,240.0,780.0,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",15,1,0.0,0.9015625,0.0,0.0,63,62,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Other', 'Checkbox', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Other', 'Checkbox', 'TextButton', 'Other', 'Image', 'Other', 'Image', 'Image', 'Other', 'Image', 'Other', 'Image', 'Image', 'Other', 'Other', 'Image', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Toolbar', 'TextButton', 'Image', 'Other', 'Other', 'Other', 'Other']"
com.aurasma.aurasma,65,716.0,668.0,"[0, 0, 1440, 2392]",Image,False,5,3,"['Other', 'Other', 'Other', 'Other', 'Image']","['Video', 'Image', 'Other']",11,4,0.0,0.0,0.0,0.0,49,44,"['Video', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']"
com.ayce.playcast,13,696.0,472.0,"[0, 84, 1440, 2392]",Other,False,4,1,"['Other', 'Other', 'Other', 'Other']",['Other'],4,3,0.0,0.0,0.0,0.0,5,1,['Other']
com.badoinkfree,28,732.0,730.6666666666666,"[0, 0, 1440, 2392]",Image,False,8,2,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image']","['Image', 'Other']",10,7,0.0,0.0,0.0,0.0,30,5,"['Image', 'Other', 'Image', 'Other', 'TextButton']"
com.bestringtonesapps.cuteringtones,2,404.0,361.3333333333333,"[0, 0, 1440, 2392]",Other,True,5,1,"['Other', 'Other', 'Other', 'Other', 'Other']",['Other'],5,4,0.0,0.0,0.0,0.0,7,1,['Other']
com.bombi.app,651,684.0,1313.3333333333337,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",12,1,0.0,0.9015625,0.0,0.0,44,43,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'TextButton', 'Other', 'Image', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'Other', 'Advertisement', 'Other', 'WebView', 'WebView', 'Other', 'Other']"
com.busuu.android.enc,6872,746.4,440.0,"[174, 364, 1266, 572]",Other,False,13,2,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']","['Other', 'ListItem']",19,12,0.0397727272727272,0.0198863636363636,0.1208333333333333,0.1208333333333333,177,122,"['Other', 'ListItem', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Image']"
com.cisco.im,22,774.6666666666667,373.33333333333337,"[314, 322, 1126, 434]",Other,False,10,4,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Card', 'Other', 'Other']","['Other', 'Other', 'Other', 'Other']",12,9,0.0383561643835616,0.0213698630136986,0.1876923076923076,0.1876923076923076,26,14,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']"
